文件名,YS,PV,组号,序号
YS_0.571_PV_0.129\0.571_0.129_14_1.png,0.571,0.129,14,1
YS_0.571_PV_0.129\0.571_0.129_14_2.png,0.571,0.129,14,2
YS_0.571_PV_0.129\0.571_0.129_14_3.png,0.571,0.129,14,3
YS_0.571_PV_0.129\0.571_0.129_14_4.png,0.571,0.129,14,4
YS_0.571_PV_0.129\0.571_0.129_14_5.png,0.571,0.129,14,5
YS_0.571_PV_0.129\0.571_0.129_14_6.png,0.571,0.129,14,6
YS_0.571_PV_0.129\0.571_0.129_14_7.png,0.571,0.129,14,7
YS_0.571_PV_0.129\0.571_0.129_14_8.png,0.571,0.129,14,8
YS_0.571_PV_0.129\0.571_0.129_15_0.png,0.571,0.129,15,0
YS_0.571_PV_0.129\0.571_0.129_15_1.png,0.571,0.129,15,1
YS_0.571_PV_0.129\0.571_0.129_15_2.png,0.571,0.129,15,2
YS_0.571_PV_0.129\0.571_0.129_15_3.png,0.571,0.129,15,3
YS_0.571_PV_0.129\0.571_0.129_15_4.png,0.571,0.129,15,4
YS_0.571_PV_0.129\0.571_0.129_15_5.png,0.571,0.129,15,5
YS_0.571_PV_0.129\0.571_0.129_15_6.png,0.571,0.129,15,6
YS_0.571_PV_0.129\0.571_0.129_15_7.png,0.571,0.129,15,7
YS_0.571_PV_0.129\0.571_0.129_15_8.png,0.571,0.129,15,8
YS_0.571_PV_0.129\0.571_0.129_16_0.png,0.571,0.129,16,0
YS_0.571_PV_0.129\0.571_0.129_16_1.png,0.571,0.129,16,1
YS_0.571_PV_0.129\0.571_0.129_16_2.png,0.571,0.129,16,2
YS_0.571_PV_0.129\0.571_0.129_16_3.png,0.571,0.129,16,3
YS_0.571_PV_0.129\0.571_0.129_16_4.png,0.571,0.129,16,4
YS_0.571_PV_0.129\0.571_0.129_16_5.png,0.571,0.129,16,5
YS_0.571_PV_0.129\0.571_0.129_16_6.png,0.571,0.129,16,6
YS_0.571_PV_0.129\0.571_0.129_16_7.png,0.571,0.129,16,7
YS_0.571_PV_0.129\0.571_0.129_16_8.png,0.571,0.129,16,8
YS_0.571_PV_0.129\0.571_0.129_17_0.png,0.571,0.129,17,0
YS_0.571_PV_0.129\0.571_0.129_17_1.png,0.571,0.129,17,1
YS_0.571_PV_0.129\0.571_0.129_17_2.png,0.571,0.129,17,2
YS_0.571_PV_0.129\0.571_0.129_17_3.png,0.571,0.129,17,3
YS_0.571_PV_0.129\0.571_0.129_17_4.png,0.571,0.129,17,4
YS_0.571_PV_0.129\0.571_0.129_17_5.png,0.571,0.129,17,5
YS_0.571_PV_0.129\0.571_0.129_17_6.png,0.571,0.129,17,6
YS_0.571_PV_0.129\0.571_0.129_17_7.png,0.571,0.129,17,7
YS_0.571_PV_0.129\0.571_0.129_17_8.png,0.571,0.129,17,8
YS_0.571_PV_0.129\0.571_0.129_18_0.png,0.571,0.129,18,0
YS_0.571_PV_0.129\0.571_0.129_18_1.png,0.571,0.129,18,1
YS_0.571_PV_0.129\0.571_0.129_18_2.png,0.571,0.129,18,2
YS_0.571_PV_0.129\0.571_0.129_18_3.png,0.571,0.129,18,3
YS_0.571_PV_0.129\0.571_0.129_18_4.png,0.571,0.129,18,4
YS_0.571_PV_0.129\0.571_0.129_18_5.png,0.571,0.129,18,5
YS_0.571_PV_0.129\0.571_0.129_18_6.png,0.571,0.129,18,6
YS_0.571_PV_0.129\0.571_0.129_18_7.png,0.571,0.129,18,7
YS_0.571_PV_0.129\0.571_0.129_18_8.png,0.571,0.129,18,8
YS_0.571_PV_0.129\0.571_0.129_19_0.png,0.571,0.129,19,0
YS_0.571_PV_0.129\0.571_0.129_19_1.png,0.571,0.129,19,1
YS_0.571_PV_0.129\0.571_0.129_19_2.png,0.571,0.129,19,2
YS_0.571_PV_0.129\0.571_0.129_19_3.png,0.571,0.129,19,3
YS_0.571_PV_0.129\0.571_0.129_19_4.png,0.571,0.129,19,4
YS_0.571_PV_0.129\0.571_0.129_19_5.png,0.571,0.129,19,5
YS_0.571_PV_0.129\0.571_0.129_19_6.png,0.571,0.129,19,6
YS_0.571_PV_0.129\0.571_0.129_19_7.png,0.571,0.129,19,7
YS_0.571_PV_0.129\0.571_0.129_19_8.png,0.571,0.129,19,8
YS_0.571_PV_0.129\0.571_0.129_20_0.png,0.571,0.129,20,0
YS_0.571_PV_0.129\0.571_0.129_20_1.png,0.571,0.129,20,1
YS_0.571_PV_0.129\0.571_0.129_20_2.png,0.571,0.129,20,2
YS_0.571_PV_0.129\0.571_0.129_20_3.png,0.571,0.129,20,3
YS_0.571_PV_0.129\0.571_0.129_20_4.png,0.571,0.129,20,4
YS_0.571_PV_0.129\0.571_0.129_20_5.png,0.571,0.129,20,5
YS_0.571_PV_0.129\0.571_0.129_20_6.png,0.571,0.129,20,6
YS_0.571_PV_0.129\0.571_0.129_20_7.png,0.571,0.129,20,7
YS_0.571_PV_0.129\0.571_0.129_20_8.png,0.571,0.129,20,8
YS_0.571_PV_0.129\0.571_0.129_21_0.png,0.571,0.129,21,0
YS_0.571_PV_0.129\0.571_0.129_21_1.png,0.571,0.129,21,1
YS_0.571_PV_0.129\0.571_0.129_21_2.png,0.571,0.129,21,2
YS_0.571_PV_0.129\0.571_0.129_21_3.png,0.571,0.129,21,3
YS_0.571_PV_0.129\0.571_0.129_21_4.png,0.571,0.129,21,4
YS_0.571_PV_0.129\0.571_0.129_21_5.png,0.571,0.129,21,5
YS_0.571_PV_0.129\0.571_0.129_21_6.png,0.571,0.129,21,6
YS_0.571_PV_0.129\0.571_0.129_21_7.png,0.571,0.129,21,7
YS_0.571_PV_0.129\0.571_0.129_21_8.png,0.571,0.129,21,8
YS_0.571_PV_0.129\0.571_0.129_22_0.png,0.571,0.129,22,0
YS_0.571_PV_0.129\0.571_0.129_22_1.png,0.571,0.129,22,1
YS_0.571_PV_0.129\0.571_0.129_22_2.png,0.571,0.129,22,2
YS_0.571_PV_0.129\0.571_0.129_22_3.png,0.571,0.129,22,3
YS_0.571_PV_0.129\0.571_0.129_22_4.png,0.571,0.129,22,4
YS_0.571_PV_0.129\0.571_0.129_22_5.png,0.571,0.129,22,5
YS_0.571_PV_0.129\0.571_0.129_22_6.png,0.571,0.129,22,6
YS_0.571_PV_0.129\0.571_0.129_22_7.png,0.571,0.129,22,7
YS_0.571_PV_0.129\0.571_0.129_22_8.png,0.571,0.129,22,8
YS_0.571_PV_0.129\0.571_0.129_23_0.png,0.571,0.129,23,0
YS_0.571_PV_0.129\0.571_0.129_23_1.png,0.571,0.129,23,1
YS_0.571_PV_0.129\0.571_0.129_23_2.png,0.571,0.129,23,2
YS_0.571_PV_0.129\0.571_0.129_23_3.png,0.571,0.129,23,3
YS_0.571_PV_0.129\0.571_0.129_23_4.png,0.571,0.129,23,4
YS_0.571_PV_0.129\0.571_0.129_23_5.png,0.571,0.129,23,5
YS_0.571_PV_0.129\0.571_0.129_23_6.png,0.571,0.129,23,6
YS_0.571_PV_0.129\0.571_0.129_23_7.png,0.571,0.129,23,7
YS_0.571_PV_0.129\0.571_0.129_23_8.png,0.571,0.129,23,8
YS_0.571_PV_0.129\0.571_0.129_24_0.png,0.571,0.129,24,0
YS_0.571_PV_0.129\0.571_0.129_24_1.png,0.571,0.129,24,1
YS_0.571_PV_0.129\0.571_0.129_24_2.png,0.571,0.129,24,2
YS_0.571_PV_0.129\0.571_0.129_24_3.png,0.571,0.129,24,3
YS_0.571_PV_0.129\0.571_0.129_24_4.png,0.571,0.129,24,4
YS_0.571_PV_0.129\0.571_0.129_24_5.png,0.571,0.129,24,5
YS_0.571_PV_0.129\0.571_0.129_24_6.png,0.571,0.129,24,6
YS_0.571_PV_0.129\0.571_0.129_24_7.png,0.571,0.129,24,7
YS_0.571_PV_0.129\0.571_0.129_24_8.png,0.571,0.129,24,8
YS_0.571_PV_0.129\0.571_0.129_25_0.png,0.571,0.129,25,0
YS_0.571_PV_0.129\0.571_0.129_25_1.png,0.571,0.129,25,1
YS_0.571_PV_0.129\0.571_0.129_25_2.png,0.571,0.129,25,2
YS_0.571_PV_0.129\0.571_0.129_25_3.png,0.571,0.129,25,3
YS_0.571_PV_0.129\0.571_0.129_25_4.png,0.571,0.129,25,4
YS_0.571_PV_0.129\0.571_0.129_25_5.png,0.571,0.129,25,5
YS_0.571_PV_0.129\0.571_0.129_25_6.png,0.571,0.129,25,6
YS_0.571_PV_0.129\0.571_0.129_25_7.png,0.571,0.129,25,7
YS_0.571_PV_0.129\0.571_0.129_25_8.png,0.571,0.129,25,8
YS_0.571_PV_0.129\0.571_0.129_26_0.png,0.571,0.129,26,0
YS_0.571_PV_0.129\0.571_0.129_26_1.png,0.571,0.129,26,1
YS_0.571_PV_0.129\0.571_0.129_26_2.png,0.571,0.129,26,2
YS_0.571_PV_0.129\0.571_0.129_26_3.png,0.571,0.129,26,3
YS_0.571_PV_0.129\0.571_0.129_26_4.png,0.571,0.129,26,4
YS_0.571_PV_0.129\0.571_0.129_26_5.png,0.571,0.129,26,5
YS_0.571_PV_0.129\0.571_0.129_26_6.png,0.571,0.129,26,6
YS_0.571_PV_0.129\0.571_0.129_26_7.png,0.571,0.129,26,7
YS_0.571_PV_0.129\0.571_0.129_26_8.png,0.571,0.129,26,8
YS_0.571_PV_0.129\0.571_0.129_27_0.png,0.571,0.129,27,0
YS_0.571_PV_0.129\0.571_0.129_27_1.png,0.571,0.129,27,1
YS_0.571_PV_0.129\0.571_0.129_27_2.png,0.571,0.129,27,2
YS_0.571_PV_0.129\0.571_0.129_27_3.png,0.571,0.129,27,3
YS_0.571_PV_0.129\0.571_0.129_27_4.png,0.571,0.129,27,4
YS_0.571_PV_0.129\0.571_0.129_27_5.png,0.571,0.129,27,5
YS_0.571_PV_0.129\0.571_0.129_27_6.png,0.571,0.129,27,6
YS_0.571_PV_0.129\0.571_0.129_27_7.png,0.571,0.129,27,7
YS_0.571_PV_0.129\0.571_0.129_27_8.png,0.571,0.129,27,8
YS_0.571_PV_0.129\0.571_0.129_28_0.png,0.571,0.129,28,0
YS_0.571_PV_0.129\0.571_0.129_28_1.png,0.571,0.129,28,1
YS_0.571_PV_0.129\0.571_0.129_28_2.png,0.571,0.129,28,2
YS_0.571_PV_0.129\0.571_0.129_28_3.png,0.571,0.129,28,3
YS_0.571_PV_0.129\0.571_0.129_28_4.png,0.571,0.129,28,4
YS_0.571_PV_0.129\0.571_0.129_28_5.png,0.571,0.129,28,5
YS_0.571_PV_0.129\0.571_0.129_28_6.png,0.571,0.129,28,6
YS_0.571_PV_0.129\0.571_0.129_28_7.png,0.571,0.129,28,7
YS_0.571_PV_0.129\0.571_0.129_28_8.png,0.571,0.129,28,8
YS_0.571_PV_0.129\0.571_0.129_29_0.png,0.571,0.129,29,0
YS_0.571_PV_0.129\0.571_0.129_29_1.png,0.571,0.129,29,1
YS_0.571_PV_0.129\0.571_0.129_29_2.png,0.571,0.129,29,2
YS_0.571_PV_0.129\0.571_0.129_29_3.png,0.571,0.129,29,3
YS_0.571_PV_0.129\0.571_0.129_29_4.png,0.571,0.129,29,4
YS_0.571_PV_0.129\0.571_0.129_29_5.png,0.571,0.129,29,5
YS_0.571_PV_0.129\0.571_0.129_29_6.png,0.571,0.129,29,6
YS_0.571_PV_0.129\0.571_0.129_29_7.png,0.571,0.129,29,7
YS_0.571_PV_0.129\0.571_0.129_29_8.png,0.571,0.129,29,8
YS_0.571_PV_0.129\0.571_0.129_30_0.png,0.571,0.129,30,0
YS_0.571_PV_0.129\0.571_0.129_30_1.png,0.571,0.129,30,1
YS_0.571_PV_0.129\0.571_0.129_30_2.png,0.571,0.129,30,2
YS_0.571_PV_0.129\0.571_0.129_30_3.png,0.571,0.129,30,3
YS_0.571_PV_0.129\0.571_0.129_30_4.png,0.571,0.129,30,4
YS_0.571_PV_0.129\0.571_0.129_30_5.png,0.571,0.129,30,5
YS_0.571_PV_0.129\0.571_0.129_30_6.png,0.571,0.129,30,6
YS_0.571_PV_0.129\0.571_0.129_30_7.png,0.571,0.129,30,7
YS_0.571_PV_0.129\0.571_0.129_30_8.png,0.571,0.129,30,8
YS_0.571_PV_0.129\0.571_0.129_31_0.png,0.571,0.129,31,0
YS_0.571_PV_0.129\0.571_0.129_31_1.png,0.571,0.129,31,1
YS_0.571_PV_0.129\0.571_0.129_31_2.png,0.571,0.129,31,2
YS_0.571_PV_0.129\0.571_0.129_31_3.png,0.571,0.129,31,3
YS_0.571_PV_0.129\0.571_0.129_31_4.png,0.571,0.129,31,4
YS_0.571_PV_0.129\0.571_0.129_31_5.png,0.571,0.129,31,5
YS_0.571_PV_0.129\0.571_0.129_31_6.png,0.571,0.129,31,6
YS_0.571_PV_0.129\0.571_0.129_31_7.png,0.571,0.129,31,7
YS_0.571_PV_0.129\0.571_0.129_31_8.png,0.571,0.129,31,8
YS_0.571_PV_0.129\0.571_0.129_32_0.png,0.571,0.129,32,0
YS_0.571_PV_0.129\0.571_0.129_32_1.png,0.571,0.129,32,1
YS_0.571_PV_0.129\0.571_0.129_32_2.png,0.571,0.129,32,2
YS_0.571_PV_0.129\0.571_0.129_32_3.png,0.571,0.129,32,3
YS_0.571_PV_0.129\0.571_0.129_32_4.png,0.571,0.129,32,4
YS_0.571_PV_0.129\0.571_0.129_32_5.png,0.571,0.129,32,5
YS_0.571_PV_0.129\0.571_0.129_32_6.png,0.571,0.129,32,6
YS_0.571_PV_0.129\0.571_0.129_32_7.png,0.571,0.129,32,7
YS_0.571_PV_0.129\0.571_0.129_32_8.png,0.571,0.129,32,8
YS_0.571_PV_0.129\0.571_0.129_33_0.png,0.571,0.129,33,0
YS_0.571_PV_0.129\0.571_0.129_33_1.png,0.571,0.129,33,1
YS_0.571_PV_0.129\0.571_0.129_33_2.png,0.571,0.129,33,2
YS_0.571_PV_0.129\0.571_0.129_33_3.png,0.571,0.129,33,3
YS_0.571_PV_0.129\0.571_0.129_33_4.png,0.571,0.129,33,4
YS_0.571_PV_0.129\0.571_0.129_33_5.png,0.571,0.129,33,5
YS_0.571_PV_0.129\0.571_0.129_33_6.png,0.571,0.129,33,6
YS_0.571_PV_0.129\0.571_0.129_33_7.png,0.571,0.129,33,7
YS_0.571_PV_0.129\0.571_0.129_33_8.png,0.571,0.129,33,8
YS_0.571_PV_0.129\0.571_0.129_34_0.png,0.571,0.129,34,0
YS_0.571_PV_0.129\0.571_0.129_34_1.png,0.571,0.129,34,1
YS_0.571_PV_0.129\0.571_0.129_34_2.png,0.571,0.129,34,2
YS_0.571_PV_0.129\0.571_0.129_34_3.png,0.571,0.129,34,3
YS_0.571_PV_0.129\0.571_0.129_34_4.png,0.571,0.129,34,4
YS_0.571_PV_0.129\0.571_0.129_34_5.png,0.571,0.129,34,5
YS_0.571_PV_0.129\0.571_0.129_34_6.png,0.571,0.129,34,6
YS_0.571_PV_0.129\0.571_0.129_34_7.png,0.571,0.129,34,7
YS_0.571_PV_0.129\0.571_0.129_34_8.png,0.571,0.129,34,8
YS_0.571_PV_0.129\0.571_0.129_35_0.png,0.571,0.129,35,0
YS_0.571_PV_0.129\0.571_0.129_35_1.png,0.571,0.129,35,1
YS_0.571_PV_0.129\0.571_0.129_35_2.png,0.571,0.129,35,2
YS_0.571_PV_0.129\0.571_0.129_35_3.png,0.571,0.129,35,3
YS_0.571_PV_0.129\0.571_0.129_35_4.png,0.571,0.129,35,4
YS_0.571_PV_0.129\0.571_0.129_35_5.png,0.571,0.129,35,5
YS_0.571_PV_0.129\0.571_0.129_35_6.png,0.571,0.129,35,6
YS_0.571_PV_0.129\0.571_0.129_35_7.png,0.571,0.129,35,7
YS_0.571_PV_0.129\0.571_0.129_35_8.png,0.571,0.129,35,8
YS_0.571_PV_0.129\0.571_0.129_36_0.png,0.571,0.129,36,0
YS_0.571_PV_0.129\0.571_0.129_36_1.png,0.571,0.129,36,1
YS_0.571_PV_0.129\0.571_0.129_36_2.png,0.571,0.129,36,2
YS_0.571_PV_0.129\0.571_0.129_36_3.png,0.571,0.129,36,3
YS_0.571_PV_0.129\0.571_0.129_36_4.png,0.571,0.129,36,4
YS_0.571_PV_0.129\0.571_0.129_36_5.png,0.571,0.129,36,5
YS_0.571_PV_0.129\0.571_0.129_36_6.png,0.571,0.129,36,6
YS_0.571_PV_0.129\0.571_0.129_36_7.png,0.571,0.129,36,7
YS_0.571_PV_0.129\0.571_0.129_36_8.png,0.571,0.129,36,8
YS_0.571_PV_0.129\0.571_0.129_37_0.png,0.571,0.129,37,0
YS_0.571_PV_0.129\0.571_0.129_37_1.png,0.571,0.129,37,1
YS_0.571_PV_0.129\0.571_0.129_37_2.png,0.571,0.129,37,2
YS_0.571_PV_0.129\0.571_0.129_37_3.png,0.571,0.129,37,3
YS_0.571_PV_0.129\0.571_0.129_37_4.png,0.571,0.129,37,4
YS_0.571_PV_0.129\0.571_0.129_37_5.png,0.571,0.129,37,5
YS_0.571_PV_0.129\0.571_0.129_37_6.png,0.571,0.129,37,6
YS_0.571_PV_0.129\0.571_0.129_37_7.png,0.571,0.129,37,7
YS_0.571_PV_0.129\0.571_0.129_37_8.png,0.571,0.129,37,8
YS_0.571_PV_0.129\0.571_0.129_38_0.png,0.571,0.129,38,0
YS_0.571_PV_0.129\0.571_0.129_38_1.png,0.571,0.129,38,1
YS_0.571_PV_0.129\0.571_0.129_38_2.png,0.571,0.129,38,2
YS_0.571_PV_0.129\0.571_0.129_38_3.png,0.571,0.129,38,3
YS_0.571_PV_0.129\0.571_0.129_38_4.png,0.571,0.129,38,4
YS_0.571_PV_0.129\0.571_0.129_38_5.png,0.571,0.129,38,5
YS_0.571_PV_0.129\0.571_0.129_38_6.png,0.571,0.129,38,6
YS_0.571_PV_0.129\0.571_0.129_38_7.png,0.571,0.129,38,7
YS_0.571_PV_0.129\0.571_0.129_38_8.png,0.571,0.129,38,8
YS_0.571_PV_0.129\0.571_0.129_39_0.png,0.571,0.129,39,0
YS_0.571_PV_0.129\0.571_0.129_39_1.png,0.571,0.129,39,1
YS_0.571_PV_0.129\0.571_0.129_39_2.png,0.571,0.129,39,2
YS_0.571_PV_0.129\0.571_0.129_39_3.png,0.571,0.129,39,3
YS_0.571_PV_0.129\0.571_0.129_39_4.png,0.571,0.129,39,4
YS_0.571_PV_0.129\0.571_0.129_39_5.png,0.571,0.129,39,5
YS_0.571_PV_0.129\0.571_0.129_39_6.png,0.571,0.129,39,6
YS_0.571_PV_0.129\0.571_0.129_39_7.png,0.571,0.129,39,7
YS_0.571_PV_0.129\0.571_0.129_39_8.png,0.571,0.129,39,8
YS_4.134_PV_0.235\4.134_0.235_0_0.png,4.134,0.235,0,0
YS_4.134_PV_0.235\4.134_0.235_0_1.png,4.134,0.235,0,1
YS_4.134_PV_0.235\4.134_0.235_0_2.png,4.134,0.235,0,2
YS_4.134_PV_0.235\4.134_0.235_0_3.png,4.134,0.235,0,3
YS_4.134_PV_0.235\4.134_0.235_0_4.png,4.134,0.235,0,4
YS_4.134_PV_0.235\4.134_0.235_0_5.png,4.134,0.235,0,5
YS_4.134_PV_0.235\4.134_0.235_0_6.png,4.134,0.235,0,6
YS_4.134_PV_0.235\4.134_0.235_0_7.png,4.134,0.235,0,7
YS_4.134_PV_0.235\4.134_0.235_0_8.png,4.134,0.235,0,8
YS_4.134_PV_0.235\4.134_0.235_1_0.png,4.134,0.235,1,0
YS_4.134_PV_0.235\4.134_0.235_1_1.png,4.134,0.235,1,1
YS_4.134_PV_0.235\4.134_0.235_1_2.png,4.134,0.235,1,2
YS_4.134_PV_0.235\4.134_0.235_1_3.png,4.134,0.235,1,3
YS_4.134_PV_0.235\4.134_0.235_1_4.png,4.134,0.235,1,4
YS_4.134_PV_0.235\4.134_0.235_1_5.png,4.134,0.235,1,5
YS_4.134_PV_0.235\4.134_0.235_1_6.png,4.134,0.235,1,6
YS_4.134_PV_0.235\4.134_0.235_1_7.png,4.134,0.235,1,7
YS_4.134_PV_0.235\4.134_0.235_1_8.png,4.134,0.235,1,8
YS_4.134_PV_0.235\4.134_0.235_2_0.png,4.134,0.235,2,0
YS_4.134_PV_0.235\4.134_0.235_2_1.png,4.134,0.235,2,1
YS_4.134_PV_0.235\4.134_0.235_2_2.png,4.134,0.235,2,2
YS_4.134_PV_0.235\4.134_0.235_2_3.png,4.134,0.235,2,3
YS_4.134_PV_0.235\4.134_0.235_2_4.png,4.134,0.235,2,4
YS_4.134_PV_0.235\4.134_0.235_2_5.png,4.134,0.235,2,5
YS_4.134_PV_0.235\4.134_0.235_2_6.png,4.134,0.235,2,6
YS_4.134_PV_0.235\4.134_0.235_2_7.png,4.134,0.235,2,7
YS_4.134_PV_0.235\4.134_0.235_2_8.png,4.134,0.235,2,8
YS_4.134_PV_0.235\4.134_0.235_3_0.png,4.134,0.235,3,0
YS_4.134_PV_0.235\4.134_0.235_3_1.png,4.134,0.235,3,1
YS_4.134_PV_0.235\4.134_0.235_3_2.png,4.134,0.235,3,2
YS_4.134_PV_0.235\4.134_0.235_3_3.png,4.134,0.235,3,3
YS_4.134_PV_0.235\4.134_0.235_3_4.png,4.134,0.235,3,4
YS_4.134_PV_0.235\4.134_0.235_3_5.png,4.134,0.235,3,5
YS_4.134_PV_0.235\4.134_0.235_3_6.png,4.134,0.235,3,6
YS_4.134_PV_0.235\4.134_0.235_3_7.png,4.134,0.235,3,7
YS_4.134_PV_0.235\4.134_0.235_3_8.png,4.134,0.235,3,8
YS_4.134_PV_0.235\4.134_0.235_4_0.png,4.134,0.235,4,0
YS_4.134_PV_0.235\4.134_0.235_4_1.png,4.134,0.235,4,1
YS_4.134_PV_0.235\4.134_0.235_4_2.png,4.134,0.235,4,2
YS_4.134_PV_0.235\4.134_0.235_4_3.png,4.134,0.235,4,3
YS_4.134_PV_0.235\4.134_0.235_4_4.png,4.134,0.235,4,4
YS_4.134_PV_0.235\4.134_0.235_4_5.png,4.134,0.235,4,5
YS_4.134_PV_0.235\4.134_0.235_4_6.png,4.134,0.235,4,6
YS_4.134_PV_0.235\4.134_0.235_4_7.png,4.134,0.235,4,7
YS_4.134_PV_0.235\4.134_0.235_4_8.png,4.134,0.235,4,8
YS_4.134_PV_0.235\4.134_0.235_5_0.png,4.134,0.235,5,0
YS_4.134_PV_0.235\4.134_0.235_5_1.png,4.134,0.235,5,1
YS_4.134_PV_0.235\4.134_0.235_5_2.png,4.134,0.235,5,2
YS_4.134_PV_0.235\4.134_0.235_5_3.png,4.134,0.235,5,3
YS_4.134_PV_0.235\4.134_0.235_5_4.png,4.134,0.235,5,4
YS_4.134_PV_0.235\4.134_0.235_5_5.png,4.134,0.235,5,5
YS_4.134_PV_0.235\4.134_0.235_5_6.png,4.134,0.235,5,6
YS_4.134_PV_0.235\4.134_0.235_5_7.png,4.134,0.235,5,7
YS_4.134_PV_0.235\4.134_0.235_5_8.png,4.134,0.235,5,8
YS_4.134_PV_0.235\4.134_0.235_6_0.png,4.134,0.235,6,0
YS_4.134_PV_0.235\4.134_0.235_6_1.png,4.134,0.235,6,1
YS_4.134_PV_0.235\4.134_0.235_6_2.png,4.134,0.235,6,2
YS_4.134_PV_0.235\4.134_0.235_6_3.png,4.134,0.235,6,3
YS_4.134_PV_0.235\4.134_0.235_6_4.png,4.134,0.235,6,4
YS_4.134_PV_0.235\4.134_0.235_6_5.png,4.134,0.235,6,5
YS_4.134_PV_0.235\4.134_0.235_6_6.png,4.134,0.235,6,6
YS_4.134_PV_0.235\4.134_0.235_6_7.png,4.134,0.235,6,7
YS_4.134_PV_0.235\4.134_0.235_6_8.png,4.134,0.235,6,8
YS_4.134_PV_0.235\4.134_0.235_7_0.png,4.134,0.235,7,0
YS_4.134_PV_0.235\4.134_0.235_7_1.png,4.134,0.235,7,1
YS_4.134_PV_0.235\4.134_0.235_7_2.png,4.134,0.235,7,2
YS_4.134_PV_0.235\4.134_0.235_7_3.png,4.134,0.235,7,3
YS_4.134_PV_0.235\4.134_0.235_7_4.png,4.134,0.235,7,4
YS_4.134_PV_0.235\4.134_0.235_7_5.png,4.134,0.235,7,5
YS_4.134_PV_0.235\4.134_0.235_7_6.png,4.134,0.235,7,6
YS_4.134_PV_0.235\4.134_0.235_7_7.png,4.134,0.235,7,7
YS_4.134_PV_0.235\4.134_0.235_7_8.png,4.134,0.235,7,8
YS_4.134_PV_0.235\4.134_0.235_8_0.png,4.134,0.235,8,0
YS_4.134_PV_0.235\4.134_0.235_8_1.png,4.134,0.235,8,1
YS_4.134_PV_0.235\4.134_0.235_8_2.png,4.134,0.235,8,2
YS_4.134_PV_0.235\4.134_0.235_8_3.png,4.134,0.235,8,3
YS_4.134_PV_0.235\4.134_0.235_8_4.png,4.134,0.235,8,4
YS_4.134_PV_0.235\4.134_0.235_8_5.png,4.134,0.235,8,5
YS_4.134_PV_0.235\4.134_0.235_8_6.png,4.134,0.235,8,6
YS_4.134_PV_0.235\4.134_0.235_8_7.png,4.134,0.235,8,7
YS_4.134_PV_0.235\4.134_0.235_8_8.png,4.134,0.235,8,8
YS_4.134_PV_0.235\4.134_0.235_9_0.png,4.134,0.235,9,0
YS_4.134_PV_0.235\4.134_0.235_9_1.png,4.134,0.235,9,1
YS_4.134_PV_0.235\4.134_0.235_9_2.png,4.134,0.235,9,2
YS_4.134_PV_0.235\4.134_0.235_9_3.png,4.134,0.235,9,3
YS_4.134_PV_0.235\4.134_0.235_9_4.png,4.134,0.235,9,4
YS_4.134_PV_0.235\4.134_0.235_9_5.png,4.134,0.235,9,5
YS_4.134_PV_0.235\4.134_0.235_9_6.png,4.134,0.235,9,6
YS_4.134_PV_0.235\4.134_0.235_9_7.png,4.134,0.235,9,7
YS_4.134_PV_0.235\4.134_0.235_9_8.png,4.134,0.235,9,8
YS_4.134_PV_0.235\4.134_0.235_10_0.png,4.134,0.235,10,0
YS_4.134_PV_0.235\4.134_0.235_10_1.png,4.134,0.235,10,1
YS_4.134_PV_0.235\4.134_0.235_10_2.png,4.134,0.235,10,2
YS_4.134_PV_0.235\4.134_0.235_10_3.png,4.134,0.235,10,3
YS_4.134_PV_0.235\4.134_0.235_10_4.png,4.134,0.235,10,4
YS_4.134_PV_0.235\4.134_0.235_10_5.png,4.134,0.235,10,5
YS_4.134_PV_0.235\4.134_0.235_10_6.png,4.134,0.235,10,6
YS_4.134_PV_0.235\4.134_0.235_10_7.png,4.134,0.235,10,7
YS_4.134_PV_0.235\4.134_0.235_10_8.png,4.134,0.235,10,8
YS_4.134_PV_0.235\4.134_0.235_11_0.png,4.134,0.235,11,0
YS_4.134_PV_0.235\4.134_0.235_11_1.png,4.134,0.235,11,1
YS_4.134_PV_0.235\4.134_0.235_11_2.png,4.134,0.235,11,2
YS_4.134_PV_0.235\4.134_0.235_11_3.png,4.134,0.235,11,3
YS_4.134_PV_0.235\4.134_0.235_11_4.png,4.134,0.235,11,4
YS_4.134_PV_0.235\4.134_0.235_11_5.png,4.134,0.235,11,5
YS_4.134_PV_0.235\4.134_0.235_11_6.png,4.134,0.235,11,6
YS_4.134_PV_0.235\4.134_0.235_11_7.png,4.134,0.235,11,7
YS_4.134_PV_0.235\4.134_0.235_11_8.png,4.134,0.235,11,8
YS_4.134_PV_0.235\4.134_0.235_12_0.png,4.134,0.235,12,0
YS_4.134_PV_0.235\4.134_0.235_12_1.png,4.134,0.235,12,1
YS_4.134_PV_0.235\4.134_0.235_12_2.png,4.134,0.235,12,2
YS_4.134_PV_0.235\4.134_0.235_12_3.png,4.134,0.235,12,3
YS_4.134_PV_0.235\4.134_0.235_12_4.png,4.134,0.235,12,4
YS_4.134_PV_0.235\4.134_0.235_12_5.png,4.134,0.235,12,5
YS_4.134_PV_0.235\4.134_0.235_12_6.png,4.134,0.235,12,6
YS_4.134_PV_0.235\4.134_0.235_12_7.png,4.134,0.235,12,7
